Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Conversions,Revenue_Generated,ROAS,CTR,CONVERTION RATE,CUSTOMER ACQUITATION COST,MARKETING ROI
CAMP001,Campaign 01,Instagram,23-05-2024,15-07-2024,405386.28,361754.98,2268233,145667,20897,27264043.56,75.37,6.42%,14.35%,1731.13%,7436.60%
CAMP002,Campaign 02,Email,11-01-2025,18-02-2025,140093.5,86740.56,835181,35658,4497,16329930.7,188.26,4.27%,12.61%,1928.85%,18726.18%
CAMP003,Campaign 03,Instagram,31-07-2024,25-09-2024,96345.32,58141.53,2680180,207415,26545,129338754.1,2224.55,7.74%,12.80%,219.03%,222355.02%
CAMP004,Campaign 04,Google Ads,03-03-2025,18-04-2025,289129.49,221190.72,246026,8144,318,1055967.98,4.77,3.31%,3.90%,69556.83%,377.40%
CAMP005,Campaign 05,Email,24-04-2024,16-05-2024,98015.91,75922.28,225135,5539,557,3036745.34,40,2.46%,10.06%,13630.57%,3899.81%
CAMP006,Campaign 06,YouTube,30-04-2025,23-05-2025,128328.15,85375.59,2527423,126310,8548,12503832.9,146.46,5.00%,6.77%,998.78%,14545.68%
CAMP007,Campaign 07,Email,10-04-2025,20-05-2025,454716.25,314223.98,2447449,101238,14365,82330635.91,262.01,4.14%,14.19%,2187.43%,26101.26%
CAMP008,Campaign 08,Affiliate,09-09-2024,13-10-2024,115577.43,100128.07,588644,9925,1384,3155862.75,31.52,1.69%,13.94%,7234.69%,3051.83%
CAMP009,Campaign 09,Facebook,19-08-2024,03-10-2024,350412.95,192985.7,301626,20818,492,1009875.13,5.23,6.90%,2.36%,39224.74%,423.29%
CAMP010,Campaign 10,Google Ads,10-02-2026,23-03-2026,236895.58,190653.31,523791,41127,4903,18519747.87,97.14,7.85%,11.92%,3888.50%,9613.83%
CAMP011,Campaign 11,Google Ads,18-07-2024,14-08-2024,380444.49,239303.77,793722,14421,1375,3655925.3,15.28,1.82%,9.53%,17403.91%,1427.73%
CAMP012,Campaign 12,Affiliate,19-10-2024,14-11-2024,216305.97,151646.67,652717,8540,827,4096226.15,27.01,1.31%,9.68%,18336.96%,2601.16%
CAMP013,Campaign 13,YouTube,10-02-2025,07-03-2025,334831.54,188869.18,1621677,22422,2448,9598935.95,50.82,1.38%,10.92%,7715.24%,4982.32%
CAMP014,Campaign 14,Affiliate,13-06-2024,06-08-2024,322424.83,213080.16,2835549,219035,19154,82187681.94,385.71,7.72%,8.74%,1112.46%,38471.25%
CAMP015,Campaign 15,Email,06-08-2025,12-09-2025,434451.3,337605.68,1571857,81493,8416,33865119.8,100.31,5.18%,10.33%,4011.47%,9930.97%
CAMP016,Campaign 16,Instagram,11-03-2024,02-04-2024,84814.5,75931,2017237,116852,9103,37434948.63,493.01,5.79%,7.79%,834.13%,49201.27%
CAMP017,Campaign 17,Facebook,10-01-2024,02-02-2024,338864.22,264435.13,2286480,156652,4765,30156808.67,114.04,6.85%,3.04%,5549.53%,11304.24%
CAMP018,Campaign 18,YouTube,31-10-2025,14-11-2025,162691.8,153445.18,743569,47515,5423,37617503.14,245.15,6.39%,11.41%,2829.53%,24415.27%
CAMP019,Campaign 19,Affiliate,07-12-2025,27-01-2026,298410.94,300043.14,2913621,41431,4116,14861053.42,49.53,1.42%,9.93%,7289.68%,4852.97%
CAMP020,Campaign 20,Google Ads,20-03-2024,13-04-2024,167525.65,167243.89,854092,46538,1636,4440695.09,26.55,5.45%,3.52%,10222.73%,2555.22%
CAMP021,Campaign 21,Affiliate,24-12-2024,22-02-2025,244683.5,152981.11,2116259,81121,2808,16573216.11,108.34,3.83%,3.46%,5448.05%,10733.50%
CAMP022,Campaign 22,Facebook,22-08-2024,25-09-2024,222050.91,199133.33,2424120,142507,12906,89521802.99,449.56,5.88%,9.06%,1542.95%,44855.71%
CAMP023,Campaign 23,Email,24-12-2024,08-02-2025,474861.59,262316.53,1680205,49632,6008,38510824.24,146.81,2.95%,12.11%,4366.12%,14581.05%
CAMP024,Campaign 24,YouTube,10-02-2026,28-03-2026,386229.46,379914.89,527878,31569,4691,16588294.67,43.66,5.98%,14.86%,8098.80%,4266.32%
CAMP025,Campaign 25,Affiliate,03-07-2025,04-08-2025,261932.43,260218.88,1985055,114626,15614,72890373.99,280.11,5.77%,13.62%,1666.57%,27911.18%
CAMP026,Campaign 26,Google Ads,30-03-2026,15-05-2026,427130.24,354391.32,326057,16241,1271,4940985.88,13.94,4.98%,7.83%,27882.87%,1294.22%
CAMP027,Campaign 27,Affiliate,01-02-2026,09-03-2026,298748.8,268555.88,1388580,71457,3848,13599131.55,50.64,5.15%,5.39%,6979.10%,4963.80%
CAMP028,Campaign 28,Facebook,05-01-2024,05-02-2024,374651.12,376911.45,2220518,154268,15694,21241656.8,56.36,6.95%,10.17%,2401.63%,5535.72%
CAMP029,Campaign 29,YouTube,05-01-2024,10-02-2024,401499,379031.85,863953,61060,8993,55323165.62,145.96,7.07%,14.73%,4214.74%,14495.91%
CAMP030,Campaign 30,YouTube,21-11-2024,14-12-2024,270956.35,174734.05,1135062,60816,4135,17649469.58,101.01,5.36%,6.80%,4225.73%,10000.76%
