Order_ID,Customer_ID,Order_Date,Order_Status,Shipping_City,Order_Total,,
ORD000001,CUST01976,04-05-2024,Delivered,Madurai,25032,,
ORD000002,CUST03090,15-04-2025,Shipped,Pune,3945,,
ORD000003,CUST06556,17-07-2026,Delivered,Madurai,39529,,
ORD000004,CUST04239,22-01-2024,Delivered,Mumbai,21706,,
ORD000005,CUST09522,19-02-2024,Delivered,Pune,35565,,
ORD000006,CUST01564,20-01-2026,Delivered,Mumbai,37871,,
ORD000007,CUST04910,26-12-2025,Delivered,Coimbatore,19169,,
ORD000008,CUST03448,05-03-2026,Delivered,Pune,21344,,
ORD000009,CUST05608,13-07-2025,Cancelled,Madurai,14355,,
ORD000010,CUST09979,06-03-2024,Delivered,Mumbai,52211,,
ORD000011,CUST09841,27-06-2026,Delivered,Madurai,7976,,
ORD000012,CUST01118,09-05-2024,Delivered,Coimbatore,70943,,
ORD000013,CUST07169,28-10-2024,Shipped,Delhi,2015,,
ORD000014,CUST08647,22-11-2024,Delivered,Chennai,32890,,
ORD000015,CUST07994,18-01-2025,Delivered,Hyderabad,38029,,
ORD000016,CUST07630,17-02-2026,Delivered,Ahmedabad,13975,,
ORD000017,CUST03640,20-01-2026,Delivered,Bengaluru,20051,,
ORD000018,CUST05777,21-06-2025,Delivered,Hyderabad,20855,,
ORD000019,CUST00078,03-12-2025,Delivered,Chennai,6027,,
ORD000020,CUST08839,18-02-2024,Delivered,Ahmedabad,7253,,
ORD000021,CUST01103,14-11-2024,Delivered,Mumbai,11902,,
ORD000022,CUST07100,21-01-2024,Delivered,Kolkata,53346,,
ORD000023,CUST00248,08-03-2025,Delivered,Kolkata,8938,,
ORD000024,CUST03293,13-08-2025,Delivered,Delhi,14839,,
ORD000025,CUST01151,14-08-2025,Cancelled,Mumbai,50158,,
ORD000026,CUST05000,09-01-2024,Delivered,Delhi,2590,,
ORD000027,CUST08606,28-05-2024,Delivered,Delhi,1007,,
ORD000028,CUST08868,12-03-2025,Delivered,Coimbatore,20626,,
ORD000029,CUST01410,02-06-2026,Delivered,Bengaluru,7638,,
ORD000030,CUST07685,13-05-2025,Shipped,Hyderabad,4381,,
ORD000031,CUST09902,06-06-2026,Delivered,Hyderabad,18022,,
ORD000032,CUST08525,24-02-2024,Delivered,Hyderabad,53603,,
ORD000033,CUST02344,23-10-2024,Delivered,Coimbatore,53233,,
ORD000034,CUST08633,01-06-2025,Delivered,Madurai,12855,,
ORD000035,CUST06923,07-02-2026,Delivered,Chennai,22999,,
ORD000036,CUST08721,12-05-2026,Delivered,Pune,1522,,
ORD000037,CUST05707,04-12-2025,Delivered,Coimbatore,21042,,
ORD000038,CUST07289,19-06-2026,Shipped,Chennai,17493,,
ORD000039,CUST01818,16-08-2024,Processing,Delhi,812,,
ORD000040,CUST07010,03-09-2024,Shipped,Coimbatore,3256,,
ORD000041,CUST02546,08-10-2024,Delivered,Coimbatore,31484,,
ORD000042,CUST04249,07-02-2026,Delivered,Hyderabad,31815,,
ORD000043,CUST04440,13-09-2024,Delivered,Delhi,14825,,
ORD000044,CUST04212,02-04-2024,Delivered,Ahmedabad,35299,,
ORD000045,CUST03998,01-08-2024,Delivered,Kolkata,28123,,
ORD000046,CUST08296,16-03-2026,Delivered,Mumbai,1277,,
ORD000047,CUST02296,06-07-2025,Delivered,Chennai,7096,,
ORD000048,CUST09179,29-10-2025,Delivered,Madurai,19363,,
ORD000049,CUST05042,12-05-2024,Delivered,Madurai,7642,,
ORD000050,CUST00364,05-07-2026,Delivered,Hyderabad,38997,,
ORD000051,CUST01410,11-05-2025,Delivered,Madurai,33932,,
ORD000052,CUST04984,10-04-2026,Shipped,Madurai,8615,,
ORD000053,CUST09365,26-03-2024,Delivered,Delhi,7961,,
ORD000054,CUST01227,18-08-2025,Delivered,Hyderabad,9545,,
ORD000055,CUST03446,30-01-2025,Delivered,Coimbatore,28150,,
ORD000056,CUST06120,20-06-2026,Delivered,Bengaluru,16985,,
ORD000057,CUST00965,13-07-2026,Shipped,Madurai,1766,,
ORD000058,CUST01814,26-05-2026,Shipped,Bengaluru,10128,,
ORD000059,CUST01285,29-01-2026,Shipped,Kolkata,3789,,
ORD000060,CUST06662,21-05-2026,Processing,Delhi,24139,,
ORD000061,CUST05392,14-08-2026,Delivered,Bengaluru,28169,,
ORD000062,CUST02808,30-06-2025,Shipped,Kolkata,38842,,
ORD000063,CUST08600,05-09-2024,Delivered,Pune,20008,,
ORD000064,CUST08206,22-04-2026,Delivered,Chennai,6721,,
ORD000065,CUST00536,28-09-2025,Delivered,Delhi,23853,,
ORD000066,CUST00254,17-07-2025,Delivered,Kolkata,37411,,
ORD000067,CUST02892,15-10-2024,Delivered,Kolkata,79348,,
ORD000068,CUST07079,12-02-2025,Delivered,Mumbai,27746,,
ORD000069,CUST09990,20-02-2026,Delivered,Hyderabad,39399,,
ORD000070,CUST05879,02-01-2026,Processing,Ahmedabad,13856,,
ORD000071,CUST04585,04-11-2024,Delivered,Delhi,4461,,
ORD000072,CUST03184,01-03-2024,Delivered,Hyderabad,16374,,
ORD000073,CUST07470,18-05-2025,Shipped,Chennai,28635,,
ORD000074,CUST00105,19-02-2026,Processing,Coimbatore,8000,,
ORD000075,CUST00228,10-06-2025,Delivered,Ahmedabad,17233,,
ORD000076,CUST07593,06-11-2024,Shipped,Coimbatore,29603,,
ORD000077,CUST06632,23-11-2025,Delivered,Coimbatore,19559,,
ORD000078,CUST02030,18-07-2024,Delivered,Madurai,32694,,
ORD000079,CUST00453,25-03-2026,Processing,Delhi,34903,,
ORD000080,CUST09898,29-07-2026,Delivered,Mumbai,17305,,
ORD000081,CUST01211,18-12-2024,Delivered,Delhi,7661,,
ORD000082,CUST01955,15-03-2024,Delivered,Hyderabad,16418,,
ORD000083,CUST07491,17-08-2026,Shipped,Hyderabad,47487,,
ORD000084,CUST03411,25-01-2026,Processing,Ahmedabad,5594,,
ORD000085,CUST08275,27-09-2024,Delivered,Hyderabad,1005,,
ORD000086,CUST00833,21-01-2024,Delivered,Hyderabad,20958,,
ORD000087,CUST00147,05-02-2024,Cancelled,Ahmedabad,11122,,
ORD000088,CUST09178,16-07-2024,Processing,Bengaluru,47714,,
ORD000089,CUST02383,01-06-2024,Processing,Chennai,23927,,
ORD000090,CUST06937,13-02-2024,Processing,Delhi,4608,,
ORD000091,CUST02727,02-10-2025,Delivered,Ahmedabad,7158,,
ORD000092,CUST02271,07-07-2025,Cancelled,Chennai,10164,,
ORD000093,CUST04702,12-08-2026,Processing,Kolkata,3774,,
ORD000094,CUST04956,28-06-2025,Delivered,Bengaluru,9726,,
ORD000095,CUST09798,20-05-2026,Shipped,Bengaluru,11976,,
ORD000096,CUST08874,24-05-2025,Delivered,Madurai,14759,,
ORD000097,CUST00398,19-02-2025,Delivered,Bengaluru,31436,,
ORD000098,CUST01467,19-08-2026,Shipped,Madurai,21224,,
ORD000099,CUST00441,12-02-2025,Delivered,Bengaluru,236,,
ORD000100,CUST07895,22-10-2024,Processing,Mumbai,17543,,
ORD000101,CUST05087,11-08-2026,Shipped,Ahmedabad,18271,,
ORD000102,CUST04686,14-05-2026,Cancelled,Mumbai,3520,,
ORD000103,CUST00992,18-09-2025,Delivered,Bengaluru,50942,,
ORD000104,CUST07615,19-05-2026,Delivered,Pune,10634,,
ORD000105,CUST09921,21-07-2024,Delivered,Pune,25660,,
ORD000106,CUST07025,29-07-2025,Shipped,Mumbai,11826,,
ORD000107,CUST08500,03-07-2026,Delivered,Delhi,41062,,
ORD000108,CUST02697,06-03-2026,Delivered,Kolkata,42740,,
ORD000109,CUST00144,27-08-2026,Delivered,Bengaluru,382,,
ORD000110,CUST08522,04-01-2026,Delivered,Mumbai,12142,,
ORD000111,CUST00784,27-04-2026,Delivered,Hyderabad,20125,,
ORD000112,CUST09182,02-01-2025,Delivered,Mumbai,19792,,
ORD000113,CUST03233,01-03-2025,Cancelled,Mumbai,31171,,
ORD000114,CUST06451,28-07-2024,Delivered,Madurai,18071,,
ORD000115,CUST02875,20-08-2025,Delivered,Ahmedabad,4786,,
ORD000116,CUST02052,03-08-2026,Processing,Ahmedabad,34490,,
ORD000117,CUST03564,08-01-2026,Delivered,Mumbai,35597,,
ORD000118,CUST09602,04-04-2025,Delivered,Ahmedabad,20944,,
ORD000119,CUST04601,27-12-2024,Processing,Mumbai,40366,,
ORD000120,CUST00186,20-04-2025,Delivered,Mumbai,8277,,
ORD000121,CUST07014,30-10-2024,Delivered,Madurai,8913,,
ORD000122,CUST08034,03-07-2024,Delivered,Hyderabad,20753,,
ORD000123,CUST09497,21-09-2024,Cancelled,Ahmedabad,8668,,
ORD000124,CUST09851,17-02-2025,Delivered,Delhi,28666,,
ORD000125,CUST03866,05-02-2025,Delivered,Kolkata,34253,,
ORD000126,CUST02788,21-06-2024,Delivered,Hyderabad,24127,,
ORD000127,CUST03056,28-12-2025,Delivered,Pune,27890,,
ORD000128,CUST09198,27-05-2026,Shipped,Kolkata,32568,,
ORD000129,CUST01966,23-03-2024,Processing,Bengaluru,3588,,
ORD000130,CUST06330,12-08-2025,Delivered,Chennai,30032,,
ORD000131,CUST03467,17-11-2024,Delivered,Madurai,6910,,
ORD000132,CUST03733,25-06-2026,Delivered,Mumbai,4194,,
ORD000133,CUST03076,11-12-2024,Delivered,Mumbai,36516,,
ORD000134,CUST03397,12-03-2024,Delivered,Hyderabad,5518,,
ORD000135,CUST07366,26-03-2025,Shipped,Madurai,15429,,
ORD000136,CUST08982,21-02-2026,Processing,Hyderabad,18368,,
ORD000137,CUST02926,26-05-2026,Delivered,Madurai,4744,,
ORD000138,CUST03431,18-03-2026,Delivered,Kolkata,9367,,
ORD000139,CUST07174,14-10-2025,Delivered,Coimbatore,28898,,
ORD000140,CUST01998,26-07-2024,Processing,Ahmedabad,8445,,
ORD000141,CUST05782,07-12-2024,Delivered,Pune,36793,,
ORD000142,CUST06928,02-02-2024,Shipped,Kolkata,16622,,
ORD000143,CUST02016,16-01-2025,Delivered,Kolkata,23367,,
ORD000144,CUST06308,20-01-2025,Processing,Hyderabad,13876,,
ORD000145,CUST02738,18-04-2024,Shipped,Pune,15133,,
ORD000146,CUST07738,27-05-2026,Delivered,Delhi,3715,,
