Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Rate,Gross_Amount,Discount_Amount,Net_Amount,Unit_Cost,Profit,PROFIT MARGIN
ITEM0000001,ORD000001,PROD0869,3,6572.43,0.15,19717.29,2957.59,16759.70,3503.62,6248.84,37.28%
ITEM0000002,ORD000001,PROD0186,3,2902.50,0.05,8707.50,435.38,8272.12,1939.17,2454.61,29.67%
ITEM0000003,ORD000002,PROD0184,2,2191.55,0.10,4383.10,438.31,3944.79,1288.18,1368.43,34.69%
ITEM0000004,ORD000003,PROD0050,3,5880.55,0.05,17641.65,882.08,16759.57,2999.76,7760.29,46.30%
ITEM0000005,ORD000003,PROD0590,1,8122.15,0.15,8122.15,1218.32,6903.83,3705.36,3198.47,46.33%
ITEM0000006,ORD000003,PROD0504,1,1318.57,0.20,1318.57,263.71,1054.86,620.45,434.41,41.18%
ITEM0000007,ORD000003,PROD0594,2,8228.38,0.10,16456.76,1645.68,14811.08,4832.94,5145.20,34.74%
ITEM0000008,ORD000004,PROD0495,1,8287.70,0.00,8287.70,0.00,8287.70,3825.40,4462.30,53.84%
ITEM0000009,ORD000004,PROD0168,2,7454.60,0.10,14909.20,1490.92,13418.28,4948.94,3520.40,26.24%
ITEM0000010,ORD000005,PROD0848,4,9359.29,0.05,37437.16,1871.86,35565.30,4705.63,16742.78,47.08%
ITEM0000011,ORD000006,PROD0361,1,4697.25,0.10,4697.25,469.72,4227.53,3822.10,405.43,9.59%
ITEM0000012,ORD000006,PROD0312,3,3424.09,0.00,10272.27,0.00,10272.27,1881.34,4628.25,45.06%
ITEM0000013,ORD000006,PROD0194,4,6150.34,0.05,24601.36,1230.07,23371.29,3060.96,11127.45,47.61%
ITEM0000014,ORD000007,PROD0909,2,4814.80,0.00,9629.60,0.00,9629.60,3313.97,3001.66,31.17%
ITEM0000015,ORD000007,PROD0502,2,3676.55,0.20,7353.10,1470.62,5882.48,1914.93,2052.62,34.89%
ITEM0000016,ORD000007,PROD0370,1,4062.98,0.10,4062.98,406.30,3656.68,2290.03,1366.65,37.37%
ITEM0000017,ORD000008,PROD0198,4,3892.53,0.00,15570.12,0.00,15570.12,3211.68,2723.40,17.49%
