Product_ID,Product_Name,Category,Brand,Unit_Cost,Unit_Price,Stock_Quantity
PROD0001,Apex Product 0001,Sports,StyleHub,4398.99,7643.35,355
PROD0002,UrbanX Product 0002,Accessories,DailyChoice,3214.20,6629.94,382
PROD0003,PrimeLife Product 0003,Grocery,StyleHub,4704.66,10198.27,136
PROD0004,StyleHub Product 0004,Grocery,FitMax,4660.97,10240.09,473
PROD0005,Zen Product 0005,Accessories,TechPro,3619.67,6759.53,85
PROD0006,TechPro Product 0006,Electronics,Zen,1465.64,2207.38,52
PROD0007,Nova Product 0007,Accessories,TechPro,3447.09,7130.08,60
PROD0008,PrimeLife Product 0008,Accessories,Zen,1044.41,1918.65,414
PROD0009,Zen Product 0009,Electronics,FitMax,1732.70,2580.85,112
PROD0010,UrbanX Product 0010,Home & Kitchen,TechPro,3813.71,8119.32,303
PROD0011,DailyChoice Product 0011,Beauty,TechPro,4268.10,8258.91,107
PROD0012,Nova Product 0012,Home & Kitchen,Zen,2142.17,3482.03,477
PROD0013,DailyChoice Product 0013,Beauty,PrimeLife,2664.84,4336.27,334
PROD0014,Zen Product 0014,Fashion,PrimeLife,1992.05,4373.99,302
PROD0015,Apex Product 0015,Sports,TechPro,2448.57,3776.66,416
PROD0016,HomeEase Product 0016,Home & Kitchen,UrbanX,2611.19,3260.81,66
PROD0017,HomeEase Product 0017,Sports,PrimeLife,3489.99,5987.04,481
PROD0018,HomeEase Product 0018,Home & Kitchen,UrbanX,3777.57,7853.93,319
PROD0019,DailyChoice Product 0019,Home & Kitchen,HomeEase,4877.58,8602.81,121
PROD0020,DailyChoice Product 0020,Electronics,PrimeLife,2244.49,4450.24,253
PROD0021,Zen Product 0021,Accessories,UrbanX,507.39,612.73,400
PROD0022,StyleHub Product 0022,Beauty,DailyChoice,3472.02,6447.77,299
PROD0023,PrimeLife Product 0023,Fashion,FitMax,2541.54,3134.11,4
PROD0024,StyleHub Product 0024,Grocery,Apex,4221.01,7319.97,349
PROD0025,Apex Product 0025,Sports,DailyChoice,818.07,1368.35,445
PROD0026,DailyChoice Product 0026,Home & Kitchen,Apex,3260.08,6985.98,234
PROD0027,FitMax Product 0027,Accessories,Apex,2350.37,3029.83,498
PROD0028,Zen Product 0028,Sports,TechPro,2154.58,2499.24,446
PROD0029,HomeEase Product 0029,Electronics,PrimeLife,2867.84,3711.62,334
PROD0030,Apex Product 0030,Grocery,Zen,3452.50,4589.21,38
PROD0031,Zen Product 0031,Fashion,DailyChoice,4269.54,6034.81,199
PROD0032,UrbanX Product 0032,Beauty,TechPro,1252.05,2511.42,169
PROD0033,PrimeLife Product 0033,Beauty,StyleHub,1536.16,2374.48,357
PROD0034,PrimeLife Product 0034,Home & Kitchen,Apex,2788.05,5667.54,347
PROD0035,TechPro Product 0035,Grocery,StyleHub,1798.13,2581.27,20
PROD0036,PrimeLife Product 0036,Fashion,FitMax,2884.89,5924.32,174
PROD0037,StyleHub Product 0037,Beauty,FitMax,1080.74,1252.03,73
PROD0038,HomeEase Product 0038,Fashion,Zen,1607.47,3425.94,283
PROD0039,FitMax Product 0039,Sports,HomeEase,1691.73,3270.71,148
PROD0040,UrbanX Product 0040,Electronics,Apex,4962.37,7857.25,112
PROD0041,UrbanX Product 0041,Fashion,UrbanX,4286.31,7527.63,283
PROD0042,Nova Product 0042,Fashion,FitMax,4204.73,8954.68,85
PROD0043,Apex Product 0043,Grocery,Apex,2616.49,4609.44,101
PROD0044,StyleHub Product 0044,Accessories,FitMax,2387.56,3318.70,18
PROD0045,DailyChoice Product 0045,Accessories,HomeEase,443.62,777.01,62
PROD0046,Apex Product 0046,Beauty,FitMax,1066.90,2203.17,115
PROD0047,Nova Product 0047,Books,Nova,4487.20,9812.71,179
PROD0048,PrimeLife Product 0048,Home & Kitchen,DailyChoice,2675.64,4717.92,37
PROD0049,FitMax Product 0049,Grocery,DailyChoice,4938.45,6486.30,301
PROD0050,PrimeLife Product 0050,Home & Kitchen,PrimeLife,2999.76,5880.55,407
PROD0051,StyleHub Product 0051,Books,Apex,1949.69,4282.99,91
PROD0052,Zen Product 0052,Books,StyleHub,1443.14,2377.31,172
PROD0053,PrimeLife Product 0053,Grocery,FitMax,4599.96,7143.37,204
PROD0054,UrbanX Product 0054,Books,StyleHub,1916.59,3315.94,8
PROD0055,Zen Product 0055,Sports,PrimeLife,816.09,1079.69,8
PROD0056,HomeEase Product 0056,Accessories,StyleHub,1463.47,3175.51,20
PROD0057,UrbanX Product 0057,Beauty,Nova,3263.55,6625.83,23
PROD0058,Zen Product 0058,Beauty,Apex,751.75,953.70,94
PROD0059,Apex Product 0059,Electronics,DailyChoice,548.68,1175.46,191
PROD0060,Apex Product 0060,Home & Kitchen,UrbanX,2342.37,5012.58,348
PROD0061,Apex Product 0061,Beauty,PrimeLife,509.89,755.74,295
PROD0062,HomeEase Product 0062,Books,DailyChoice,2025.40,3645.92,457
PROD0063,PrimeLife Product 0063,Sports,PrimeLife,1681.35,2129.08,179
PROD0064,Zen Product 0064,Grocery,FitMax,2018.24,2499.39,387
PROD0065,Apex Product 0065,Electronics,HomeEase,2490.16,4175.71,130
PROD0066,FitMax Product 0066,Accessories,StyleHub,1008.11,1211.91,396
PROD0067,TechPro Product 0067,Home & Kitchen,Apex,2267.88,4691.42,20
PROD0068,Apex Product 0068,Accessories,Zen,1871.44,3975.87,7
PROD0069,Nova Product 0069,Home & Kitchen,StyleHub,3997.82,4880.03,375
PROD0070,Nova Product 0070,Accessories,Zen,3503.98,4203.55,200
PROD0071,FitMax Product 0071,Home & Kitchen,Zen,4375.45,6049.01,365
PROD0072,UrbanX Product 0072,Electronics,PrimeLife,3378.15,7183.49,384
PROD0073,Zen Product 0073,Grocery,Apex,693.32,1357.15,13
PROD0074,Zen Product 0074,Grocery,HomeEase,2584.68,4808.34,331
PROD0075,StyleHub Product 0075,Sports,DailyChoice,3738.10,7345.98,35
PROD0076,StyleHub Product 0076,Grocery,TechPro,4224.22,5742.62,405
PROD0077,DailyChoice Product 0077,Sports,FitMax,988.25,1402.74,372
PROD0078,Nova Product 0078,Accessories,FitMax,1195.16,1773.03,163
PROD0079,UrbanX Product 0079,Beauty,Zen,4324.98,7721.47,44
PROD0080,Nova Product 0080,Beauty,HomeEase,2478.48,4433.09,143
PROD0081,Nova Product 0081,Home & Kitchen,FitMax,2316.87,3171.88,10
PROD0082,TechPro Product 0082,Books,Apex,2521.16,4055.45,322
PROD0083,FitMax Product 0083,Fashion,Nova,949.33,1779.54,353
PROD0084,Zen Product 0084,Beauty,TechPro,3175.42,4684.06,408
PROD0085,FitMax Product 0085,Sports,HomeEase,4059.07,4989.62,345
PROD0086,DailyChoice Product 0086,Home & Kitchen,DailyChoice,4201.60,5702.66,450
PROD0087,UrbanX Product 0087,Sports,TechPro,248.85,329.22,211
PROD0088,StyleHub Product 0088,Home & Kitchen,HomeEase,3604.43,6536.78,414
PROD0089,TechPro Product 0089,Electronics,Zen,547.00,668.42,112
PROD0090,PrimeLife Product 0090,Beauty,Apex,4837.66,10057.43,448
PROD0091,TechPro Product 0091,Books,DailyChoice,2462.98,3050.66,345
PROD0092,TechPro Product 0092,Electronics,Zen,3899.53,6932.60,344
PROD0093,PrimeLife Product 0093,Beauty,HomeEase,3147.10,6690.76,10
PROD0094,DailyChoice Product 0094,Books,PrimeLife,4764.49,5791.45,335
PROD0095,FitMax Product 0095,Books,UrbanX,4870.92,7560.93,339
PROD0096,Zen Product 0096,Books,PrimeLife,1466.51,2191.47,361
PROD0097,UrbanX Product 0097,Sports,HomeEase,2466.06,3727.25,371
PROD0098,PrimeLife Product 0098,Sports,Zen,2570.78,4576.83,165
PROD0099,Zen Product 0099,Fashion,FitMax,970.72,1383.48,257
PROD0100,StyleHub Product 0100,Sports,FitMax,4529.29,5338.62,53
PROD0101,Apex Product 0101,Accessories,Apex,1813.07,3916.94,92
PROD0102,Nova Product 0102,Home & Kitchen,Nova,528.54,1023.37,262
PROD0103,Nova Product 0103,Fashion,Nova,857.21,1107.42,432
PROD0104,FitMax Product 0104,Home & Kitchen,StyleHub,2615.19,4257.31,295
PROD0105,HomeEase Product 0105,Fashion,UrbanX,4420.26,5374.41,44
PROD0106,TechPro Product 0106,Home & Kitchen,TechPro,3178.27,3747.97,437
PROD0107,PrimeLife Product 0107,Fashion,Zen,1152.67,1383.07,216
PROD0108,DailyChoice Product 0108,Beauty,Apex,1554.33,3020.94,188
PROD0109,DailyChoice Product 0109,Books,FitMax,4882.52,7895.87,387
PROD0110,TechPro Product 0110,Beauty,Zen,358.96,731.06,106
PROD0111,FitMax Product 0111,Fashion,DailyChoice,4972.26,7311.59,289
PROD0112,TechPro Product 0112,Electronics,Nova,4538.70,8914.41,472
PROD0113,FitMax Product 0113,Grocery,DailyChoice,3424.57,4218.49,7
PROD0114,StyleHub Product 0114,Accessories,Apex,4721.69,8578.67,31
PROD0115,HomeEase Product 0115,Fashion,TechPro,847.09,1294.89,401
PROD0116,StyleHub Product 0116,Electronics,Zen,4718.69,6797.56,167
PROD0117,HomeEase Product 0117,Books,Apex,1141.62,2289.94,330
PROD0118,HomeEase Product 0118,Home & Kitchen,DailyChoice,2776.44,3344.27,439
