Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Status,Refund_Amount,
RET00001,ORD001756,05-11-2025,Damaged,Refunded,1764,
RET00002,ORD004665,11-01-2026,Quality Issue,Refunded,29705,
RET00003,ORD017009,10-10-2025,Size/Fit Issue,Refunded,18282,
RET00004,ORD013457,25-03-2025,Late Delivery,Refunded,2392,
RET00005,ORD019796,07-07-2026,Changed Mind,Refunded,34941,
RET00006,ORD021268,12-09-2025,Quality Issue,Refunded,10980,
RET00007,ORD020484,11-01-2024,Damaged,Refunded,15244,
RET00008,ORD001289,02-04-2025,Changed Mind,Refunded,7292,
RET00009,ORD019476,18-04-2025,Changed Mind,Refunded,35471,
RET00010,ORD000007,24-01-2026,Size/Fit Issue,Refunded,16321,
RET00011,ORD013189,26-02-2024,Changed Mind,Refunded,1855,
RET00012,ORD004566,05-01-2025,Changed Mind,Refunded,22652,
RET00013,ORD002922,08-02-2026,Late Delivery,Processing,20356,
RET00014,ORD020363,10-04-2024,Damaged,Refunded,3311,
RET00015,ORD011516,15-07-2024,Changed Mind,Refunded,4502,
RET00016,ORD000779,15-09-2024,Size/Fit Issue,Refunded,39479,
RET00017,ORD007918,02-06-2025,Damaged,Refunded,4034,
RET00018,ORD011024,24-10-2024,Quality Issue,Refunded,4912,
RET00019,ORD004551,15-10-2025,Quality Issue,Refunded,5243,
RET00020,ORD000503,30-03-2026,Quality Issue,Refunded,5426,
RET00021,ORD000103,05-10-2025,Wrong Item,Refunded,33647,
RET00022,ORD010142,27-04-2024,Quality Issue,Processing,7993,
RET00023,ORD015178,19-02-2024,Damaged,Refunded,2483,
RET00024,ORD027022,09-09-2026,Changed Mind,Processing,26210,
RET00025,ORD017762,25-12-2025,Quality Issue,Refunded,29446,
RET00026,ORD029305,26-01-2026,Late Delivery,Refunded,9443,
RET00027,ORD000241,31-03-2026,Late Delivery,Refunded,3564,
RET00028,ORD025332,25-04-2025,Wrong Item,Processing,8602,
RET00029,ORD003996,13-06-2024,Late Delivery,Processing,29933,
RET00030,ORD001108,19-10-2024,Changed Mind,Refunded,11713,
RET00031,ORD001761,19-07-2025,Late Delivery,Refunded,6182,
RET00032,ORD026129,13-12-2024,Late Delivery,Refunded,21815,
RET00033,ORD018106,26-03-2026,Changed Mind,Refunded,11776,
RET00034,ORD026368,16-12-2024,Wrong Item,Refunded,15689,
RET00035,ORD011955,27-05-2025,Changed Mind,Refunded,27099,
RET00036,ORD002520,05-04-2025,Wrong Item,Refunded,12220,
RET00037,ORD005231,29-06-2026,Size/Fit Issue,Refunded,11652,
RET00038,ORD023325,21-11-2024,Changed Mind,Refunded,2125,
RET00039,ORD016766,08-08-2024,Size/Fit Issue,Processing,57609,
RET00040,ORD017123,27-12-2024,Quality Issue,Processing,11499,
RET00041,ORD026636,05-05-2024,Damaged,Processing,19039,
RET00042,ORD003678,15-03-2024,Late Delivery,Refunded,19410,
RET00043,ORD029423,18-09-2024,Wrong Item,Refunded,9567,
RET00044,ORD001956,10-04-2026,Wrong Item,Refunded,2179,
RET00045,ORD027790,04-03-2026,Size/Fit Issue,Refunded,18102,
RET00046,ORD023574,21-04-2025,Size/Fit Issue,Refunded,7743,
RET00047,ORD004132,15-09-2025,Damaged,Refunded,4027,
RET00048,ORD002126,19-05-2026,Changed Mind,Processing,8246,
RET00049,ORD007838,16-07-2025,Changed Mind,Refunded,29476,
RET00050,ORD023620,24-08-2025,Size/Fit Issue,Refunded,38410,
RET00051,ORD020673,02-01-2025,Wrong Item,Refunded,8049,
RET00052,ORD012844,25-04-2025,Size/Fit Issue,Refunded,862,
RET00053,ORD024936,13-03-2025,Size/Fit Issue,Refunded,26150,
RET00054,ORD023840,29-08-2024,Changed Mind,Refunded,2960,
RET00055,ORD001686,16-03-2025,Damaged,Refunded,14181,
RET00056,ORD019438,14-08-2024,Late Delivery,Refunded,24605,
RET00057,ORD021761,21-11-2024,Changed Mind,Refunded,4323,
RET00058,ORD016603,22-12-2025,Changed Mind,Refunded,12433,
RET00059,ORD018204,17-02-2024,Changed Mind,Refunded,3041,
RET00060,ORD024344,25-10-2025,Size/Fit Issue,Refunded,8091,
RET00061,ORD021014,21-03-2026,Changed Mind,Refunded,1414,
RET00062,ORD020532,24-09-2025,Size/Fit Issue,Refunded,7491,
RET00063,ORD016350,24-12-2024,Wrong Item,Refunded,3026,
RET00064,ORD017268,11-12-2024,Size/Fit Issue,Refunded,29741,
RET00065,ORD016919,08-07-2024,Size/Fit Issue,Refunded,10531,
RET00066,ORD010329,22-04-2025,Size/Fit Issue,Refunded,9525,
RET00067,ORD006112,22-10-2025,Size/Fit Issue,Refunded,11599,
RET00068,ORD017405,09-09-2025,Damaged,Processing,748,
RET00069,ORD005348,30-03-2026,Late Delivery,Processing,11998,
RET00070,ORD011025,18-09-2024,Size/Fit Issue,Refunded,2339,
RET00071,ORD004542,16-08-2026,Damaged,Refunded,19883,
RET00072,ORD017049,21-04-2026,Damaged,Refunded,30642,
RET00073,ORD010337,28-02-2025,Damaged,Processing,3538,
RET00074,ORD002359,15-03-2025,Changed Mind,Refunded,4308,
RET00075,ORD017187,30-08-2024,Changed Mind,Refunded,19382,
RET00076,ORD022794,25-06-2026,Size/Fit Issue,Refunded,8029,
RET00077,ORD007218,04-10-2024,Late Delivery,Refunded,22471,
RET00078,ORD003229,03-09-2026,Changed Mind,Refunded,41157,
RET00079,ORD015936,26-02-2024,Size/Fit Issue,Refunded,9409,
RET00080,ORD003980,01-05-2026,Wrong Item,Refunded,4777,
RET00081,ORD011963,17-07-2024,Wrong Item,Refunded,14715,
RET00082,ORD023935,04-02-2025,Wrong Item,Processing,34169,
RET00083,ORD005378,22-12-2025,Damaged,Refunded,17972,
