Customer_ID,Customer_Name,Gender,Age,City,State,Signup_Date,Customer_Segment
CUST00001,Customer 00001,Other,44,Kolkata,West Bengal,2024-09-18,Loyal
CUST00002,Customer 00002,Female,32,Delhi,Delhi,2023-06-15,New
CUST00003,Customer 00003,Male,34,Coimbatore,Tamil Nadu,2024-10-23,Regular
CUST00004,Customer 00004,Female,56,Hyderabad,Telangana,2023-01-13,Regular
CUST00005,Customer 00005,Female,52,Kolkata,West Bengal,2023-07-26,Loyal
CUST00006,Customer 00006,Male,22,Ahmedabad,Gujarat,2025-06-19,Loyal
CUST00007,Customer 00007,Female,33,Mumbai,Maharashtra,2026-04-14,Loyal
CUST00008,Customer 00008,Female,40,Kolkata,West Bengal,2023-08-10,New
CUST00009,Customer 00009,Female,56,Coimbatore,Tamil Nadu,2022-12-23,Loyal
CUST00010,Customer 00010,Female,65,Hyderabad,Telangana,2023-11-16,Loyal
CUST00011,Customer 00011,Male,26,Delhi,Delhi,2025-05-05,Loyal
CUST00012,Customer 00012,Male,50,Coimbatore,Tamil Nadu,2024-05-07,Regular
CUST00013,Customer 00013,Female,52,Coimbatore,Tamil Nadu,2025-12-13,Loyal
CUST00014,Customer 00014,Male,57,Mumbai,Maharashtra,2023-10-21,Regular
CUST00015,Customer 00015,Male,41,Pune,Maharashtra,2025-07-20,Regular
CUST00016,Customer 00016,Female,41,Hyderabad,Telangana,2026-03-06,Regular
CUST00017,Customer 00017,Female,41,Bengaluru,Karnataka,2022-02-04,Regular
CUST00018,Customer 00018,Male,36,Coimbatore,Tamil Nadu,2024-10-03,Regular
CUST00019,Customer 00019,Female,56,Pune,Maharashtra,2023-04-06,Regular
CUST00020,Customer 00020,Female,42,Bengaluru,Karnataka,2023-12-19,Loyal
CUST00021,Customer 00021,Female,48,Hyderabad,Telangana,2025-06-30,Regular
CUST00022,Customer 00022,Male,55,Chennai,Tamil Nadu,2023-05-27,Regular
CUST00023,Customer 00023,Male,42,Ahmedabad,Gujarat,2024-12-07,New
CUST00024,Customer 00024,Male,44,Pune,Maharashtra,2025-04-23,VIP
CUST00025,Customer 00025,Male,49,Madurai,Tamil Nadu,2023-05-06,Regular
CUST00026,Customer 00026,Male,28,Chennai,Tamil Nadu,2022-09-30,New
CUST00027,Customer 00027,Male,22,Ahmedabad,Gujarat,2024-10-09,Loyal
CUST00028,Customer 00028,Male,61,Mumbai,Maharashtra,2023-06-11,New
CUST00029,Customer 00029,Female,50,Kolkata,West Bengal,2025-02-25,New
